year,county,total_incidents
2003,Cavan,5162.0
2003,Clare,3826.0
2003,Cork,22324.0
2003,Donegal,7073.0
2003,Dublin,6347.0
2003,Galway,8876.0
2003,Kerry,5274.0
2003,Kildare,8477.0
2003,Kilkenny,5567.0
2003,Laois,5221.0
2003,Limerick,11128.0
2003,Louth,6336.0
2003,Mayo,4452.0
2003,Meath,4084.0
2003,Roscommon,3140.0
2003,Sligo,3917.0
2003,Tipperary,5300.0
2003,Waterford,7860.0
2003,Westmeath,4160.0
2003,Wexford,4707.0
2003,Wicklow,6116.0
2004,Cavan,5612.0
2004,Clare,3787.0
2004,Cork,23109.0
2004,Donegal,6805.0
2004,Dublin,6654.0
2004,Galway,8513.0
2004,Kerry,5198.0
2004,Kildare,8200.0
2004,Kilkenny,5794.0
2004,Laois,5256.0
2004,Limerick,11146.0
2004,Louth,6110.0
2004,Mayo,3715.0
2004,Meath,4668.0
2004,Roscommon,3082.0
2004,Sligo,3554.0
2004,Tipperary,5977.0
2004,Waterford,7277.0
2004,Westmeath,4190.0
2004,Wexford,4828.0
2004,Wicklow,6343.0
2005,Cavan,6287.0
2005,Clare,4321.0
2005,Cork,25546.0
2005,Donegal,7737.0
2005,Dublin,7104.0
2005,Galway,10081.0
2005,Kerry,6139.0
2005,Kildare,8584.0
2005,Kilkenny,6147.0
2005,Laois,6781.0
2005,Limerick,13721.0
2005,Louth,6922.0
2005,Mayo,3923.0
2005,Meath,5244.0
2005,Roscommon,3029.0
2005,Sligo,4388.0
2005,Tipperary,6390.0
2005,Waterford,7954.0
2005,Westmeath,4968.0
2005,Wexford,5544.0
2005,Wicklow,7239.0
2006,Cavan,6632.0
2006,Clare,4860.0
2006,Cork,26626.0
2006,Donegal,7855.0
2006,Dublin,7753.0
2006,Galway,11289.0
2006,Kerry,7252.0
2006,Kildare,8928.0
2006,Kilkenny,7286.0
2006,Laois,6432.0
2006,Limerick,14862.0
2006,Louth,7262.0
2006,Mayo,4572.0
2006,Meath,6335.0
2006,Roscommon,3718.0
2006,Sligo,4509.0
2006,Tipperary,7408.0
2006,Waterford,9119.0
2006,Westmeath,5444.0
2006,Wexford,6442.0
2006,Wicklow,7455.0
2007,Cavan,7126.0
2007,Clare,5528.0
2007,Cork,27526.0
2007,Donegal,8604.0
2007,Dublin,9056.0
2007,Galway,12176.0
2007,Kerry,7041.0
2007,Kildare,10656.0
2007,Kilkenny,7716.0
2007,Laois,7070.0
2007,Limerick,14753.0
2007,Louth,8473.0
2007,Mayo,4979.0
2007,Meath,6854.0
2007,Roscommon,4025.0
2007,Sligo,4878.0
2007,Tipperary,8073.0
2007,Waterford,9503.0
2007,Westmeath,5764.0
2007,Wexford,6715.0
2007,Wicklow,7844.0
2008,Cavan,6648.0
2008,Clare,6007.0
2008,Cork,29480.0
2008,Donegal,8876.0
2008,Dublin,9754.0
2008,Galway,12981.0
2008,Kerry,7045.0
2008,Kildare,10775.0
2008,Kilkenny,7767.0
2008,Laois,7362.0
2008,Limerick,15620.0
2008,Louth,9269.0
2008,Mayo,5118.0
2008,Meath,7170.0
2008,Roscommon,3832.0
2008,Sligo,4864.0
2008,Tipperary,7297.0
2008,Waterford,9293.0
2008,Westmeath,5480.0
2008,Wexford,6738.0
2008,Wicklow,8696.0
2009,Cavan,6026.0
2009,Clare,5470.0
2009,Cork,26849.0
2009,Donegal,7788.0
2009,Dublin,8992.0
2009,Galway,12506.0
2009,Kerry,6363.0
2009,Kildare,10059.0
2009,Kilkenny,8463.0
2009,Laois,7043.0
2009,Limerick,15230.0
2009,Louth,8763.0
2009,Mayo,4975.0
2009,Meath,7740.0
2009,Roscommon,3928.0
2009,Sligo,4425.0
2009,Tipperary,6882.0
2009,Waterford,8887.0
2009,Westmeath,5060.0
2009,Wexford,6881.0
